symbol,trade_direction,trades,wins,losses,win_rate,avg_return,median_return,total_return,best_trade,worst_trade,avg_prior_relative,avg_opening_move,is_original_119,candidate_type,passes_filter,score
LITE,SHORT,2,2,0,1.0,0.061774073772622104,0.061774073772622104,0.12354814754524421,0.1061105862383704,0.0174375613068738,-0.0767893800815019,0.02764765291018585,False,NEW_CANDIDATE,True,0.12354814754524421
SNDK,SHORT,2,2,0,1.0,0.061310090835290904,0.061310090835290904,0.12262018167058181,0.0665191414029653,0.0561010402676165,-0.04197212378031365,0.01946562292036785,False,NEW_CANDIDATE,True,0.12262018167058181
COHR,SHORT,2,2,0,1.0,0.04898088079402875,0.04898088079402875,0.0979617615880575,0.0565799256505576,0.0413818359374999,-0.0387100324298792,0.025102256375058647,False,NEW_CANDIDATE,True,0.0979617615880575
APO,LONG,2,2,0,1.0,0.0453100885015531,0.0453100885015531,0.0906201770031062,0.0647117296222663,0.0259084473808399,0.08068715820118175,-0.01092597034195255,False,NEW_CANDIDATE,True,0.0906201770031062
CDW,LONG,3,3,0,1.0,0.024409739263114866,0.0186431689307713,0.0732292177893446,0.0404019432794917,0.0141841055790816,0.03993093543683183,-0.015519924621283931,False,NEW_CANDIDATE,True,0.0732292177893446
LRCX,SHORT,2,2,0,1.0,0.03508723747237065,0.03508723747237065,0.0701744749447413,0.0410991866788584,0.0290752882658829,-0.0401777225830615,0.011467987458959598,True,ORIGINAL,True,0.0701744749447413
KKR,LONG,2,2,0,1.0,0.03416365400720585,0.03416365400720585,0.0683273080144117,0.0521910961292571,0.0161362118851546,0.08724018320417155,-0.0208155617317848,False,NEW_CANDIDATE,True,0.0683273080144117
LYB,LONG,2,2,0,1.0,0.033800264264618005,0.033800264264618005,0.06760052852923601,0.0470031279059937,0.0205974006232423,0.07368048393150844,-0.01712629449548935,False,NEW_CANDIDATE,True,0.06760052852923601
Q,SHORT,2,2,0,1.0,0.0287408011967541,0.0287408011967541,0.0574816023935082,0.0290273938175421,0.0284542085759661,-0.038685514340641,0.0135537210226114,False,NEW_CANDIDATE,True,0.0574816023935082
BX,LONG,2,2,0,1.0,0.02565132406875275,0.02565132406875275,0.0513026481375055,0.0453817153628652,0.0059209327746403,0.06803331401413724,-0.02401465495033915,False,NEW_CANDIDATE,True,0.0513026481375055
AKAM,LONG,2,2,0,1.0,0.02288473259224385,0.02288473259224385,0.0457694651844877,0.0279864183557978,0.0177830468286899,0.061348148998269306,-0.016363904261212647,False,NEW_CANDIDATE,True,0.0457694651844877
GPN,LONG,3,3,0,1.0,0.014490532129017,0.0146092037983929,0.043471596387051004,0.0244593881856538,0.0044030044030043,0.03957361295281577,-0.011706666282111667,False,NEW_CANDIDATE,True,0.043471596387051004
COIN,LONG,2,2,0,1.0,0.02009951204684585,0.02009951204684585,0.0401990240936917,0.0364581853314767,0.003740838762215,0.1130112609698038,-0.010021368439426,False,NEW_CANDIDATE,True,0.0401990240936917
GEV,SHORT,2,2,0,1.0,0.019293133033899852,0.019293133033899852,0.038586266067799704,0.0279210364708477,0.010665229596952,-0.03893790793232925,0.009517971609118,False,NEW_CANDIDATE,True,0.038586266067799704
EL,SHORT,2,2,0,1.0,0.0176977425077553,0.0176977425077553,0.0353954850155106,0.0263558805606337,0.0090396044548769,-0.06362634295685725,0.006127542310503,False,NEW_CANDIDATE,True,0.0353954850155106
BEN,LONG,3,3,0,1.0,0.011732839895154265,0.0141035548686245,0.035198519685462795,0.0188316679477325,0.0022632968691058,0.03947406999300627,-0.010294904178014999,False,NEW_CANDIDATE,True,0.035198519685462795
