mode,threshold,trading_date,symbol,direction,opening_return_10m,entry_price,exit_price,trade_return,result
confirmation,0.01,2026-03-04,APP,LONG,0.0346611484738748,460.0,482.88,0.04973913043478251,WIN
confirmation,0.01,2026-03-04,BX,LONG,0.011183680773016125,113.02,114.13,0.009821270571580332,WIN
confirmation,0.01,2026-03-04,COHR,SHORT,-0.036678423658685455,284.045,274.81,0.03251245401256848,WIN
confirmation,0.01,2026-03-04,LITE,SHORT,-0.046718285021492445,691.93,680.18,0.016981486566560202,WIN
confirmation,0.01,2026-03-04,MAS,SHORT,-0.012794268167860778,67.515,68.45,-0.013848774346441566,LOSS
confirmation,0.01,2026-03-05,APO,LONG,0.01905369678183977,111.78,111.22,-0.005009840758633088,LOSS
confirmation,0.01,2026-03-05,APP,LONG,0.03524374176548095,502.88,508.71,0.011593223035316624,WIN
confirmation,0.01,2026-03-05,BAC,LONG,0.010830324909747224,50.4,49.78,-0.012301587301587258,LOSS
confirmation,0.01,2026-03-05,BX,LONG,0.023738086833745342,116.01,115.53,-0.004137574347039097,LOSS
confirmation,0.01,2026-03-05,COHR,SHORT,-0.017931086882194358,258.51,253.78,0.018297164519747746,WIN
confirmation,0.01,2026-03-05,LYB,LONG,0.025237575946409185,65.81,65.855,0.0006837866585625019,WIN
confirmation,0.01,2026-03-05,WDAY,LONG,0.018366711632250787,147.21,147.18,-0.00020379050336249982,LOSS
confirmation,0.01,2026-03-05,XYZ,LONG,0.03694847269361334,67.215,67.365,0.0022316447221601976,WIN
confirmation,0.01,2026-03-06,MAS,SHORT,-0.015855572998430212,62.69,63.665,-0.015552719732014698,LOSS
reversal,0.0015,2026-03-02,COHR,SHORT,0.029804465197723617,282.29,298.76,-0.05834425590704584,LOSS
reversal,0.0015,2026-03-02,LITE,SHORT,0.001678970231591359,751.72,783.42,-0.04216995689884522,LOSS
reversal,0.0015,2026-03-02,LRCX,SHORT,0.007720828789531176,231.02,230.88,0.000606008137823629,WIN
reversal,0.0015,2026-03-03,APO,LONG,-0.0038488108161452983,100.94,107.11,0.0611254210422032,WIN
reversal,0.0015,2026-03-03,APP,LONG,-0.004447497830488811,412.995,439.14,0.06330585116042564,WIN
reversal,0.0015,2026-03-03,BX,LONG,-0.019170506912442375,106.42,110.915,0.04223830107122728,WIN
reversal,0.0015,2026-03-03,F,SHORT,0.006130268199233679,13.13,12.715,0.031607006854531675,WIN
reversal,0.0015,2026-03-03,MAS,SHORT,0.006631299734747964,68.31,68.03,0.004098960620699767,WIN
