scenario,symbol,trade_direction,trades,win_rate,avg_return,median_return,best_trade,worst_trade,avg_pnl_per_contract
0_SAME_100_NEXT,ABNB,LONG,1,0.0,-0.0665935872841874,-0.0665935872841874,-0.0665935872841874,-0.0665935872841874,-18.22499999999998
0_SAME_100_NEXT,ADSK,LONG,1,1.0,0.0593126385809312,0.0593126385809312,0.0593126385809312,0.0593126385809312,26.750000000000007
0_SAME_100_NEXT,ANET,SHORT,1,0.0,-0.2992682926829269,-0.2992682926829269,-0.2992682926829269,-0.2992682926829269,-92.02500000000002
0_SAME_100_NEXT,APA,SHORT,2,0.0,-0.11440185830429725,-0.11440185830429725,-0.0174216027874564,-0.2113821138211381,-13.487499999999997
0_SAME_100_NEXT,APP,LONG,2,1.0,0.6229572661679429,0.6229572661679429,1.1181756097560975,0.1277389225797882,1576.9499999999998
0_SAME_100_NEXT,AXP,LONG,1,1.0,0.0569105691056912,0.0569105691056912,0.0569105691056912,0.0569105691056912,47.25000000000019
0_SAME_100_NEXT,BAC,LONG,2,1.0,0.29830475730499895,0.29830475730499895,0.3063414634146344,0.2902680511953635,26.800000000000004
0_SAME_100_NEXT,BBY,LONG,1,1.0,0.2948859166011013,0.2948859166011013,0.2948859166011013,0.2948859166011013,46.849999999999966
0_SAME_100_NEXT,BKNG,LONG,1,1.0,0.1800457810403346,0.1800457810403346,0.1800457810403346,0.1800457810403346,1710.7500000000002
0_SAME_100_NEXT,BRK.B,SHORT,1,0.0,-0.3449830194504476,-0.3449830194504476,-0.3449830194504476,-0.3449830194504476,-139.67499999999998
0_SAME_100_NEXT,BSX,SHORT,1,0.0,-0.1872491509725222,-0.1872491509725222,-0.1872491509725222,-0.1872491509725222,-30.32499999999998
0_SAME_100_NEXT,BX,LONG,2,1.0,0.43058408215661087,0.43058408215661087,0.8148267008985879,0.0463414634146339,165.81249999999994
0_SAME_100_NEXT,C,LONG,2,0.5,0.17583104052638274,0.17583104052638274,0.3640128854118729,-0.0123508043591074,47.94999999999998
0_SAME_100_NEXT,CF,SHORT,1,1.0,0.005062126092959,0.005062126092959,0.005062126092959,0.005062126092959,1.374999999999993
0_SAME_100_NEXT,CIEN,SHORT,1,1.0,0.0625787618242434,0.0625787618242434,0.0625787618242434,0.0625787618242434,98.07500000000005
0_SAME_100_NEXT,CMCSA,LONG,2,0.5,0.20515376458112425,0.20515376458112425,0.5922587486744435,-0.181951219512195,9.300000000000004
0_SAME_100_NEXT,COHR,LONG,2,0.5,-0.025727102629683,-0.025727102629683,0.0494899332142768,-0.1009441384736428,-54.900000000000034
0_SAME_100_NEXT,COHR,SHORT,1,1.0,1.1737527716186251,1.1737527716186251,1.1737527716186251,1.1737527716186251,1058.725
0_SAME_100_NEXT,COP,SHORT,1,0.0,-0.0416014726184997,-0.0416014726184997,-0.0416014726184997,-0.0416014726184997,-11.3
0_SAME_100_NEXT,COST,SHORT,1,0.0,-0.5210382565846019,-0.5210382565846019,-0.5210382565846019,-0.5210382565846019,-681.9999999999999
0_SAME_100_NEXT,CRM,LONG,1,1.0,0.2966623876765082,0.2966623876765082,0.2966623876765082,0.2966623876765082,115.54999999999995
0_SAME_100_NEXT,CRWD,LONG,1,1.0,0.7774216027874568,0.7774216027874568,0.7774216027874568,0.7774216027874568,1115.6
0_SAME_100_NEXT,CVNA,LONG,1,0.0,-0.0047425474254743,-0.0047425474254743,-0.0047425474254743,-0.0047425474254743,-5.250000000000021
0_SAME_100_NEXT,CVNA,SHORT,1,0.0,-0.3029857022708159,-0.3029857022708159,-0.3029857022708159,-0.3029857022708159,-360.2500000000001
0_SAME_100_NEXT,CVX,SHORT,1,0.0,-0.1222079589216945,-0.1222079589216945,-0.1222079589216945,-0.1222079589216945,-35.70000000000002
0_SAME_100_NEXT,DAL,LONG,1,0.0,-0.316674962667994,-0.316674962667994,-0.316674962667994,-0.316674962667994,-79.525
0_SAME_100_NEXT,DE,SHORT,1,0.0,-0.2140946595339558,-0.2140946595339558,-0.2140946595339558,-0.2140946595339558,-236.12499999999983
0_SAME_100_NEXT,DECK,SHORT,1,0.0,-0.0487804878048782,-0.0487804878048782,-0.0487804878048782,-0.0487804878048782,-13.250000000000028
0_SAME_100_NEXT,DELL,LONG,1,0.0,-0.4288862768145752,-0.4288862768145752,-0.4288862768145752,-0.4288862768145752,-218.92499999999995
0_SAME_100_NEXT,DG,SHORT,1,1.0,0.06479796141245,0.06479796141245,0.06479796141245,0.06479796141245,44.50000000000003
0_SAME_100_NEXT,DLTR,SHORT,2,0.0,-0.2109019667485811,-0.2109019667485811,-0.0934225587743242,-0.328381374722838,-68.79999999999998
0_SAME_100_NEXT,DOW,LONG,1,0.0,-0.3220031136481578,-0.3220031136481578,-0.3220031136481578,-0.3220031136481578,-31.025
0_SAME_100_NEXT,DVN,SHORT,1,0.0,-0.0583887657058387,-0.0583887657058387,-0.0583887657058387,-0.0583887657058387,-5.92499999999998
0_SAME_100_NEXT,EBAY,LONG,1,1.0,0.0990441661173369,0.0990441661173369,0.0990441661173369,0.0990441661173369,15.025
0_SAME_100_NEXT,F,SHORT,2,1.0,0.5092431281455673,0.5092431281455673,0.7615176151761518,0.2569686411149827,14.225000000000001
