threshold,symbol,trade_direction,trades,wins,win_rate,avg_return,total_return
0.01,CW,SHORT,1,0,0.0,-0.00619544830234369,-0.00619544830234369
0.01,VST,SHORT,1,0,0.0,-0.008737571557698205,-0.008737571557698205
0.01,COST,SHORT,1,0,0.0,-0.010752361570938139,-0.010752361570938139
0.01,BLK,LONG,1,0,0.0,-0.013710793119825038,-0.013710793119825038
0.01,TGT,LONG,1,0,0.0,-0.02259312029310001,-0.02259312029310001
0.01,IREN,LONG,2,0,0.0,-0.02726165697483729,-0.05452331394967458
0.0125,CRM,LONG,1,1,1.0,0.02249038656142499,0.02249038656142499
0.0125,BAC,LONG,1,1,1.0,0.018010471204188416,0.018010471204188416
0.0125,ROK,SHORT,1,1,1.0,0.01232697832332194,0.01232697832332194
0.0125,ENPH,LONG,1,1,1.0,0.007077140835102469,0.007077140835102469
0.0125,ELV,SHORT,2,1,0.5,0.006489370111773397,0.012978740223546795
0.0125,NOC,LONG,1,1,1.0,0.003522802379378742,0.003522802379378742
0.0125,ETN,SHORT,1,1,1.0,0.002699814387760784,0.002699814387760784
0.0125,TMO,LONG,1,0,0.0,-0.0024630541871921707,-0.0024630541871921707
0.0125,CW,SHORT,1,0,0.0,-0.00619544830234369,-0.00619544830234369
0.0125,IREN,LONG,1,0,0.0,-0.007027855865065269,-0.007027855865065269
0.0125,VST,SHORT,1,0,0.0,-0.008737571557698205,-0.008737571557698205
0.0125,COST,SHORT,1,0,0.0,-0.010752361570938139,-0.010752361570938139
0.0125,BLK,LONG,1,0,0.0,-0.013710793119825038,-0.013710793119825038
0.0125,TGT,LONG,1,0,0.0,-0.02259312029310001,-0.02259312029310001
0.015,ELV,SHORT,1,1,1.0,0.02565411180293294,0.02565411180293294
0.015,CRM,LONG,1,1,1.0,0.02249038656142499,0.02249038656142499
0.015,BAC,LONG,1,1,1.0,0.018010471204188416,0.018010471204188416
0.015,ROK,SHORT,1,1,1.0,0.01232697832332194,0.01232697832332194
0.015,ENPH,LONG,1,1,1.0,0.007077140835102469,0.007077140835102469
0.015,TMO,LONG,1,0,0.0,-0.0024630541871921707,-0.0024630541871921707
0.015,VST,SHORT,1,0,0.0,-0.008737571557698205,-0.008737571557698205
0.015,COST,SHORT,1,0,0.0,-0.010752361570938139,-0.010752361570938139
0.015,BLK,LONG,1,0,0.0,-0.013710793119825038,-0.013710793119825038
0.015,TGT,LONG,1,0,0.0,-0.02259312029310001,-0.02259312029310001
