group,trades,wins,losses,win_rate,avg_return,median_return,profit_factor,compounded_return,max_drawdown
ALL,6,5,1,0.8333333333333334,0.019519584529689844,0.02436981822877591,10.239769141648386,0.12204730541453457,0.0
LONG,1,1,0,1.0,0.023085524654618883,0.023085524654618883,inf,0.023085524654618883,0.0
SHORT,5,4,1,0.8,0.01880639650470404,0.02565411180293294,8.418479366430855,0.09672874688880384,0.0
