trading_date,symbol,theme,open,high,low,close,return_open_close,intraday_high_from_open,intraday_low_from_open,intraday_range,volume,bars
2026-03-02,AAPL,Other,262.47,266.505,260.3,264.705,0.00851525888672966,0.015373185506915021,-0.00826761153655664,0.023837879369957626,932579.0,78
2026-03-02,ABBV,Healthcare,234.18,235.38,231.98,234.21,0.00012810658467854452,0.005124263387138006,-0.009394482876419974,0.014656435899646603,273465.0,77
2026-03-02,ABT,Healthcare,115.62,115.645,113.63,114.095,-0.013189759557170055,0.0002162255665110191,-0.01721155509427441,0.017732993047610668,353630.0,78
2026-03-02,ADBE,Technology,257.6,264.18,257.305,260.91,0.012849378881987672,0.025543478260869446,-0.001145186335403836,0.02671926313130335,96937.0,78
2026-03-02,ADI,Semiconductors,349.675,355.98,348.52,352.22,0.007278186887824445,0.018031028812468763,-0.003303067133767157,0.02140479742912893,160770.0,75
2026-03-02,AEP,Utilities,133.62,134.23,133.2,133.2,-0.0031432420296364505,0.004565184852566961,-0.0031432420296364505,0.007732732732732783,81484.0,74
2026-03-02,AMAT,Semiconductors,366.15,373.81,364.13,372.075,0.0161818926669397,0.020920387819199915,-0.005516864672948207,0.026583912338999927,142846.0,77
2026-03-02,AMD,Semiconductors,193.845,198.73,190.0,198.57,0.024375145090149264,0.025200546828651804,-0.01983543552838607,0.045947368421052515,921441.0,78
2026-03-02,AMGN,Healthcare,386.635,391.14,382.06,385.65,-0.002547622434595942,0.011651816312542751,-0.011832865622615651,0.023765900643877957,131300.0,78
2026-03-02,AMZN,Technology,204.45,209.72,203.46,208.26,0.018635363169479113,0.02577647346539491,-0.004842259721203113,0.030767718470460892,1866518.0,78
2026-03-02,AVGO,Semiconductors,309.245,320.015,307.315,318.85,0.031059515917799763,0.03482675548513314,-0.00624100632184843,0.04132567560971645,372196.0,78
2026-03-02,BA,Aerospace,224.99,230.145,223.93,229.55,0.02026756744744218,0.022912129427974604,-0.004711320503133498,0.027754208904568367,130408.0,74
2026-03-02,BAC,Financials,48.79,50.415,48.58,49.79,0.02049600327936063,0.033306005328960886,-0.004304160688665681,0.03777274598600244,2154406.0,78
2026-03-02,BKNG,Consumer,4050.0,4218.275,4028.0,4176.87,0.03132592592592598,0.041549382716049355,-0.005432098765432047,0.04723808341608726,36101.0,78
2026-03-02,BLK,Financials,1038.52,1075.49,1033.74,1068.18,0.02855987366637147,0.035598736663713826,-0.004602703847783385,0.04038733143730533,23657.0,78
2026-03-02,BRK.B,Financials,494.595,494.595,477.97,480.06,-0.029387680829769836,0.0,-0.03361336042620733,0.034782517731238416,278224.0,78
2026-03-02,CARR,Industrials,63.29,64.09,62.79,63.84,0.008690156422815676,0.012640227524095549,-0.007900142202559635,0.020703933747411973,211101.0,78
2026-03-02,CAT,Industrials,732.79,755.56,725.52,752.05,0.026283109758593826,0.031073022284692664,-0.009920986913031005,0.04140478553313476,108368.0,76
2026-03-02,CDNS,Technology,297.66,304.68,296.25,303.375,0.01919975811328345,0.02358395484781295,-0.004736948195928292,0.028455696202531744,136548.0,78
2026-03-02,CEG,Utilities,328.68,333.21,325.16,327.21,-0.004472435195326807,0.013782402336619093,-0.010709504685408211,0.024757042686677222,199501.0,78
2026-03-02,CI,Healthcare,289.82,292.16,287.54,290.73,0.0031398799254711562,0.00807397695121126,-0.00786695190117992,0.016067329762815552,30820.0,67
2026-03-02,COP,Energy,119.01,119.01,115.73,118.25,-0.006386017981682257,0.0,-0.02756070918410214,0.02834183012183522,710762.0,78
2026-03-02,COST,Consumer,1010.91,1020.28,1002.66,1002.76,-0.0080620431096734,0.00926887655676567,-0.008160963884025318,0.01757325514132413,47035.0,75
2026-03-02,CRM,Technology,192.42,195.72,190.71,192.95,0.002754391435401793,0.0171499844091052,-0.008886810102899823,0.026270253264118137,383806.0,78
2026-03-02,CSCO,Technology,78.745,79.51,77.7,79.41,0.008444980633691035,0.009714902533494163,-0.013270683852943055,0.023294723294723374,1372752.0,78
2026-03-02,CVX,Energy,190.445,190.68,187.26,189.52,-0.004857045341174482,0.0012339520596498232,-0.016723988553125624,0.018263377122717195,498276.0,78
2026-03-02,CW,Defense,715.75,729.42,705.13,724.655,0.01244149493538238,0.019098847362905902,-0.014837582954942419,0.034447548678967044,12651.0,42
2026-03-02,D,Utilities,63.03,63.41,62.85,63.035,7.932730445814329e-05,0.006028875138822665,-0.0028557829604950458,0.008910103420843196,543360.0,78
2026-03-02,DE,Industrials,625.335,635.605,622.34,631.0,0.009059144298655841,0.016423197166318904,-0.0047894328639849215,0.021314715428865316,35398.0,72
2026-03-02,DHR,Healthcare,207.52,207.7,204.695,205.95,-0.007565535851966176,0.0008673862760215645,-0.013613145720894448,0.014680378123549609,220600.0,78
2026-03-02,DIS,Consumer,104.11,104.48,102.905,104.31,0.0019210450485063202,0.00355393333973697,-0.01157429641725094,0.015305378747388465,602487.0,78
2026-03-02,DUK,Utilities,131.24,132.2,130.92,131.62,0.0028954587016152278,0.007314843035659768,-0.0024382810118868115,0.00977696303085862,155892.0,78
2026-03-02,DVN,Energy,45.36,45.42,43.85,44.93,-0.009479717813051125,0.001322751322751392,-0.03328924162257496,0.035803876852907646,757586.0,78
2026-03-02,ELV,Healthcare,316.03,316.03,290.16,294.06,-0.06951871657754005,0.0,-0.08185931715343464,0.08915770609318985,187378.0,78
2026-03-02,EMR,Industrials,149.62,152.57,149.35,152.07,0.01637481620104264,0.0197166154257451,-0.0018045715813395091,0.021560093739537933,102758.0,76
2026-03-02,ENPH,High Beta Growth,41.235,45.72,41.08,44.73,0.08475809385230981,0.10876682429974527,-0.00375894264581067,0.11295034079844202,247284.0,78
2026-03-02,EOG,Energy,126.64,128.75,124.275,128.66,0.015950726468730192,0.0166614024005054,-0.018674984207201484,0.036008851337758996,742163.0,78
2026-03-02,EQT,Energy,62.195,62.46,60.68,61.61,-0.009405900795883881,0.004260792668220992,-0.024358871291904505,0.029334212261041603,481211.0,78
2026-03-02,ETN,Industrials,370.055,378.02,368.52,377.39,0.01982137790328453,0.02152382753914961,-0.00414803204929004,0.025778790839031895,71378.0,77
2026-03-02,EXC,Utilities,49.06,49.51,49.06,49.15,0.001834488381573518,0.009172441907867812,0.0,0.009172441907867812,410493.0,78
2026-03-02,FANG,Energy,183.01,183.01,173.375,178.92,-0.022348505546145092,0.0,-0.052647396317141104,0.05557317952415275,152063.0,77
2026-03-02,GD,Defense,362.14,365.97,359.155,364.52,0.006572043960899165,0.010576020323631807,-0.008242668581211698,0.01897509431860911,61185.0,76
2026-03-02,GE,Industrials,341.54,347.13,335.51,345.695,0.012165485741055138,0.016367043391696257,-0.017655325876910544,0.03463384101815148,159123.0,78
2026-03-02,GOOG,Technology,302.965,308.1,301.13,306.23,0.010776822405228481,0.016949152542373058,-0.006056805241529517,0.023146149503536773,342624.0,78
2026-03-02,GOOGL,Technology,303.15,308.49,301.52,306.24,0.010192973775358771,0.017615042058387154,-0.005376876133927122,0.023116211196603897,770512.0,78
2026-03-02,GS,Financials,838.01,873.335,836.06,861.32,0.027815897184997773,0.042153434923210886,-0.0023269412059522265,0.04458412075688356,84347.0,76
2026-03-02,HAL,Energy,36.78,36.78,34.99,35.96,-0.022294725394236048,0.0,-0.04866775421424685,0.051157473563875344,1311641.0,78
2026-03-02,HD,Consumer,373.5,374.36,369.0,370.65,-0.007630522088353464,0.0023025435073629197,-0.012048192771084376,0.014525745257452538,152155.0,78
2026-03-02,HON,Industrials,241.75,248.18,241.465,247.96,0.02568769389865566,0.026597724922440502,-0.0011789038262668416,0.027809413372538394,114222.0,76
2026-03-02,HUBB,Industrials,506.605,521.725,503.48,517.415,0.021338123390017838,0.029845737803614325,-0.006168513930971842,0.03623778501628672,22045.0,66
2026-03-02,HWM,Defense,262.7,267.125,259.13,265.17,0.009402360106585572,0.0168443090978303,-0.013589645984012133,0.030853239686643885,80852.0,78
2026-03-02,IBM,Technology,235.75,240.695,233.92,239.22,0.014718981972428491,0.02097560975609758,-0.007762460233298074,0.028962893296853753,238833.0,78
2026-03-02,INTC,Semiconductors,44.235,45.805,43.98,45.48,0.028145133943709766,0.035492257262348836,-0.005764665988470696,0.04149613460663937,1973612.0,78
2026-03-02,IREN,High Beta Growth,39.07,42.235,38.84,41.375,0.05899667263885333,0.0810084463782954,-0.005886869721013488,0.08740988671472705,527090.0,78
2026-03-02,ISRG,Healthcare,493.875,499.46,490.67,496.25,0.004808909136927442,0.011308529486206087,-0.006489496330043032,0.017914280473638078,49477.0,78
2026-03-02,JCI,Industrials,144.28,146.115,143.2,145.53,0.008663709453839763,0.012718325478236814,-0.007485444968117649,0.02035614525139673,121223.0,75
2026-03-02,JNJ,Healthcare,248.29,251.71,246.885,248.47,0.0007249587176285655,0.013774215634942966,-0.005658705545934173,0.019543512161532828,264177.0,78
2026-03-02,JPM,Financials,295.005,299.91,293.4,297.51,0.008491381502008455,0.01662683683327404,-0.005440585752783944,0.022188139059304834,193008.0,78
2026-03-02,KMI,Energy,33.725,34.13,33.07,33.87,0.00429948109710887,0.012008895478131887,-0.01942179392142329,0.03205322044148784,891909.0,78
2026-03-02,KO,Consumer,81.23,81.4,80.15,80.19,-0.012803151544995783,0.002092822848701159,-0.013295580450572442,0.015595757953836609,986869.0,78
2026-03-02,LHX,Defense,368.75,379.225,368.75,378.755,0.027132203389830467,0.028406779661017012,0.0,0.028406779661017012,152766.0,78
2026-03-02,LIN,Materials,507.89,510.0,500.0,509.38,0.0029337061174663503,0.004154442891177279,-0.015534859910610543,0.020000000000000018,128868.0,78
2026-03-02,LLY,Healthcare,1046.8,1054.825,1013.595,1018.15,-0.027369124952235313,0.007666220863584261,-0.031720481467328976,0.04067699623616927,97642.0,78
2026-03-02,LMT,Defense,689.19,691.225,664.41,676.79,-0.017992135695526712,0.00295274162422543,-0.03595525181735093,0.040359115606327434,124407.0,78
2026-03-02,LOW,Consumer,258.26,260.53,256.27,257.13,-0.004375435607527289,0.00878959188414763,-0.007705413149539209,0.016623092831778985,117424.0,78
2026-03-02,LRCX,Semiconductors,229.25,233.56,227.85,230.88,0.0071101417666303846,0.018800436205016258,-0.006106870229007688,0.025060346719332882,244658.0,77
2026-03-02,MA,Financials,509.5,526.115,509.03,521.025,0.022620215897939167,0.032610402355250256,-0.0009224730127576075,0.03356383710193911,199128.0,78
2026-03-02,MCD,Consumer,340.44,341.4,334.48,334.78,-0.01662554341440492,0.0028198801550933794,-0.017506755962871545,0.020688830423343685,123289.0,78
2026-03-02,MDT,Healthcare,96.85,98.765,96.785,98.08,0.012700051626226116,0.019772844605059348,-0.0006711409395973034,0.020457715555096456,340396.0,78
