gap_threshold,reversal_threshold,entry_window_minutes,trades,long_trades,short_trades,win_rate,avg_return,median_return,profit_factor,portfolio_return,max_drawdown,positive_days,trading_days,rank_score
0.0,0.005,10,14,5,9,1.0,0.028835597736178366,0.03292826515634409,inf,0.12015079534197004,0.0,5,5,1.2085634829507144
0.005,0.0015,10,13,3,10,1.0,0.028738931822273748,0.031607006854531675,inf,0.12923549080687224,0.0,5,5,1.1701103407727438
0.005,0.0025,10,13,3,10,1.0,0.028738931822273748,0.031607006854531675,inf,0.12923549080687224,0.0,5,5,1.1701103407727438
0.005,0.0035,10,13,3,10,1.0,0.028738931822273748,0.031607006854531675,inf,0.12923549080687224,0.0,5,5,1.1701103407727438
0.01,0.0015,10,13,3,10,1.0,0.028738931822273748,0.031607006854531675,inf,0.12923549080687224,0.0,5,5,1.1701103407727438
0.01,0.0025,10,13,3,10,1.0,0.028738931822273748,0.031607006854531675,inf,0.12923549080687224,0.0,5,5,1.1701103407727438
0.01,0.0035,10,13,3,10,1.0,0.028738931822273748,0.031607006854531675,inf,0.12923549080687224,0.0,5,5,1.1701103407727438
0.005,0.005,10,12,3,9,1.0,0.029330255377138657,0.03292826515634409,inf,0.13043141558201565,0.0,5,5,1.14855206188433
0.01,0.005,10,12,3,9,1.0,0.029330255377138657,0.03292826515634409,inf,0.13043141558201565,0.0,5,5,1.14855206188433
0.0,0.0015,10,17,7,10,0.9411764705882353,0.02575319686403251,0.021643049163894836,134.7352554342015,0.10774864965004305,0.0,5,5,1.1070516893112132
0.0,0.0025,10,17,7,10,0.9411764705882353,0.02575319686403251,0.021643049163894836,134.7352554342015,0.10774864965004305,0.0,5,5,1.1070516893112132
0.0,0.0035,10,16,6,10,0.9375,0.026379234565988785,0.026625028009213257,129.9282283111136,0.10937877414962816,0.0,5,5,1.0974211089683301
0.0,0.005,5,11,4,7,0.9090909090909091,0.031179328361545,0.02971147111321986,75.71845689900111,0.1151710084876556,0.0,4,4,1.0483634794632897
0.005,0.005,5,9,2,7,0.8888888888888888,0.034339427546338536,0.03178368121442121,68.32928673344365,0.125894879960869,0.0,4,4,1.0310022841389277
0.01,0.005,5,9,2,7,0.8888888888888888,0.034339427546338536,0.03178368121442121,68.32928673344365,0.125894879960869,0.0,4,4,1.0310022841389277
0.0,0.0035,5,13,4,9,0.8461538461538461,0.028489702125485055,0.02971147111321986,51.552572509283316,0.12102333069598425,-0.0027361563517914744,4,5,0.9717104960149855
0.02,0.0015,10,10,2,8,1.0,0.027389456005253478,0.021394557740364882,inf,0.11555538674354304,0.0,5,5,0.9662167105531426
0.02,0.0025,10,10,2,8,1.0,0.027389456005253478,0.021394557740364882,inf,0.11555538674354304,0.0,5,5,0.9662167105531426
0.02,0.0035,10,10,2,8,1.0,0.027389456005253478,0.021394557740364882,inf,0.11555538674354304,0.0,5,5,0.9662167105531426
0.02,0.005,10,10,2,8,1.0,0.027389456005253478,0.021394557740364882,inf,0.11555538674354304,0.0,5,5,0.9662167105531426
0.005,0.0035,5,11,2,9,0.8181818181818182,0.030586214870123415,0.03012967200610218,46.923017863022075,0.1318034801307877,-0.0027361563517914744,4,5,0.9368202120129934
0.01,0.0035,5,11,2,9,0.8181818181818182,0.030586214870123415,0.03012967200610218,46.923017863022075,0.1318034801307877,-0.0027361563517914744,4,5,0.9368202120129934
0.03,0.0015,10,5,0,5,1.0,0.03770946906119456,0.03424952345815651,inf,0.07556643190959123,0.0,3,3,0.9069276850139492
0.03,0.0025,10,5,0,5,1.0,0.03770946906119456,0.03424952345815651,inf,0.07556643190959123,0.0,3,3,0.9069276850139492
0.03,0.0035,10,5,0,5,1.0,0.03770946906119456,0.03424952345815651,inf,0.07556643190959123,0.0,3,3,0.9069276850139492
0.03,0.005,10,5,0,5,1.0,0.03770946906119456,0.03424952345815651,inf,0.07556643190959123,0.0,3,3,0.9069276850139492
0.02,0.005,5,7,1,6,0.8571428571428571,0.035365670798486536,0.03887897351792003,54.932231900976284,0.11208137905037585,-0.004590199345800183,3,4,0.8878339791597192
