threshold,trades,long_trades,short_trades,win_rate,avg_trade_return,median_trade_return,profit_factor,portfolio_return,max_drawdown
0.005,254,172,82,0.7677165354330708,0.013365857676771004,0.01194148182619681,6.693152341295515,0.053841799062768425,0.0
0.0075,196,136,60,0.7806122448979592,0.013883325097274822,0.012405189028858829,6.6511230732433075,0.05124648426334555,-6.578875011509222e-05
0.01,162,110,52,0.7777777777777778,0.013893554624811262,0.01407743636257202,6.130053374815161,0.04875782451108912,-8.512807605198791e-05
0.0125,115,76,39,0.7391304347826086,0.013985985978718982,0.016136211885154683,5.222694599075639,0.0447167067229961,-0.004731124582527002
0.015,90,61,29,0.7444444444444445,0.01428509280095215,0.014532186781298084,5.071038490995722,0.047296171587684954,-0.004872979850906067
