threshold,trading_date,trades,daily_return,wins,win_rate
0.005,2026-03-03,44,0.019599412495784178,38,0.8636363636363636
0.005,2026-03-04,52,0.0037279856054606435,31,0.5961538461538461
0.005,2026-03-05,59,0.014612700597040097,43,0.7288135593220338
0.005,2026-03-06,99,0.014914637508848604,83,0.8383838383838383
0.0075,2026-03-03,32,0.019279231026361532,27,0.84375
0.0075,2026-03-04,30,-6.578875011493925e-05,15,0.5
0.0075,2026-03-05,48,0.01515668587953089,37,0.7708333333333334
0.0075,2026-03-06,86,0.016030803098933278,74,0.8604651162790697
0.01,2026-03-03,26,0.01614016316049243,21,0.8076923076923077
0.01,2026-03-04,22,-8.51280760519408e-05,10,0.45454545454545453
0.01,2026-03-05,39,0.015610100783908152,31,0.7948717948717948
0.01,2026-03-06,75,0.016322539921964613,64,0.8533333333333334
0.0125,2026-03-03,17,0.015880707691368245,13,0.7647058823529411
0.0125,2026-03-04,13,-0.0047311245825269865,5,0.38461538461538464
0.0125,2026-03-05,29,0.016598637405764286,22,0.7586206896551724
0.0125,2026-03-06,56,0.01640286592151981,45,0.8035714285714286
0.015,2026-03-03,10,0.017096852365732818,8,0.8
0.015,2026-03-04,10,-0.0048729798509060725,4,0.4
0.015,2026-03-05,23,0.018970059997225584,18,0.782608695652174
0.015,2026-03-06,47,0.015470388234068886,37,0.7872340425531915
