signal_id,trading_date,symbol,trade_direction,option_type,underlying_entry_price,target_dte,moneyness_mode,target_strike,option_symbol,expiration_date,actual_dte,strike_price,contract_size,contract_found
2026-03-03:APO:LONG,2026-03-03,APO,LONG,call,100.94,30,OTM_2,102.9588,APO260402C00103000,2026-04-02,30,103.0,100,True
2026-03-03:APP:LONG,2026-03-03,APP,LONG,call,412.995,7,ATM,412.995,APP260313C00412500,2026-03-13,10,412.5,100,True
2026-03-03:APP:LONG,2026-03-03,APP,LONG,call,412.995,7,ITM_1,408.86505,APP260313C00410000,2026-03-13,10,410.0,100,True
2026-03-03:APP:LONG,2026-03-03,APP,LONG,call,412.995,7,ITM_2,404.7351,APP260313C00405000,2026-03-13,10,405.0,100,True
2026-03-03:APP:LONG,2026-03-03,APP,LONG,call,412.995,7,OTM_1,417.12495,APP260313C00417500,2026-03-13,10,417.5,100,True
2026-03-03:APP:LONG,2026-03-03,APP,LONG,call,412.995,7,OTM_2,421.2549,APP260313C00422500,2026-03-13,10,422.5,100,True
2026-03-03:APP:LONG,2026-03-03,APP,LONG,call,412.995,14,ATM,412.995,APP260320C00412500,2026-03-20,17,412.5,100,True
2026-03-03:APP:LONG,2026-03-03,APP,LONG,call,412.995,14,ITM_1,408.86505,APP260320C00410000,2026-03-20,17,410.0,100,True
2026-03-03:APP:LONG,2026-03-03,APP,LONG,call,412.995,14,ITM_2,404.7351,APP260320C00405000,2026-03-20,17,405.0,100,True
2026-03-03:APP:LONG,2026-03-03,APP,LONG,call,412.995,14,OTM_1,417.12495,APP260320C00417500,2026-03-20,17,417.5,100,True
2026-03-03:APP:LONG,2026-03-03,APP,LONG,call,412.995,14,OTM_2,421.2549,APP260320C00422500,2026-03-20,17,422.5,100,True
2026-03-03:APP:LONG,2026-03-03,APP,LONG,call,412.995,21,ATM,412.995,APP260327C00412500,2026-03-27,24,412.5,100,True
2026-03-03:APP:LONG,2026-03-03,APP,LONG,call,412.995,21,ITM_1,408.86505,APP260327C00410000,2026-03-27,24,410.0,100,True
2026-03-03:APP:LONG,2026-03-03,APP,LONG,call,412.995,21,ITM_2,404.7351,APP260327C00405000,2026-03-27,24,405.0,100,True
2026-03-03:APP:LONG,2026-03-03,APP,LONG,call,412.995,21,OTM_1,417.12495,APP260327C00417500,2026-03-27,24,417.5,100,True
2026-03-03:APP:LONG,2026-03-03,APP,LONG,call,412.995,21,OTM_2,421.2549,APP260327C00422500,2026-03-27,24,422.5,100,True
2026-03-03:APP:LONG,2026-03-03,APP,LONG,call,412.995,30,ATM,412.995,APP260402C00412500,2026-04-02,30,412.5,100,True
2026-03-03:APP:LONG,2026-03-03,APP,LONG,call,412.995,30,ITM_1,408.86505,APP260402C00410000,2026-04-02,30,410.0,100,True
2026-03-03:APP:LONG,2026-03-03,APP,LONG,call,412.995,30,ITM_2,404.7351,APP260402C00405000,2026-04-02,30,405.0,100,True
2026-03-03:APP:LONG,2026-03-03,APP,LONG,call,412.995,30,OTM_1,417.12495,APP260402C00417500,2026-04-02,30,417.5,100,True
2026-03-03:APP:LONG,2026-03-03,APP,LONG,call,412.995,30,OTM_2,421.2549,APP260402C00422500,2026-04-02,30,422.5,100,True
2026-03-03:ARES:LONG,2026-03-03,ARES,LONG,call,107.17,7,ATM,107.17,ARES260313C00107000,2026-03-13,10,107.0,100,True
2026-03-03:ARES:LONG,2026-03-03,ARES,LONG,call,107.17,7,ITM_1,106.0983,ARES260313C00106000,2026-03-13,10,106.0,100,True
2026-03-03:ARES:LONG,2026-03-03,ARES,LONG,call,107.17,7,ITM_2,105.0266,ARES260313C00105000,2026-03-13,10,105.0,100,True
2026-03-03:ARES:LONG,2026-03-03,ARES,LONG,call,107.17,7,OTM_1,108.24170000000001,ARES260313C00108000,2026-03-13,10,108.0,100,True
2026-03-03:ARES:LONG,2026-03-03,ARES,LONG,call,107.17,7,OTM_2,109.3134,ARES260313C00109000,2026-03-13,10,109.0,100,True
2026-03-03:ARES:LONG,2026-03-03,ARES,LONG,call,107.17,14,ATM,107.17,ARES260320C00107000,2026-03-20,17,107.0,100,True
2026-03-03:ARES:LONG,2026-03-03,ARES,LONG,call,107.17,14,ITM_1,106.0983,ARES260320C00106000,2026-03-20,17,106.0,100,True
2026-03-03:ARES:LONG,2026-03-03,ARES,LONG,call,107.17,14,ITM_2,105.0266,ARES260320C00105000,2026-03-20,17,105.0,100,True
2026-03-03:ARES:LONG,2026-03-03,ARES,LONG,call,107.17,14,OTM_1,108.24170000000001,ARES260320C00108000,2026-03-20,17,108.0,100,True
2026-03-03:ARES:LONG,2026-03-03,ARES,LONG,call,107.17,14,OTM_2,109.3134,ARES260320C00109000,2026-03-20,17,109.0,100,True
2026-03-03:ARES:LONG,2026-03-03,ARES,LONG,call,107.17,21,ATM,107.17,ARES260327C00107000,2026-03-27,24,107.0,100,True
2026-03-03:ARES:LONG,2026-03-03,ARES,LONG,call,107.17,21,ITM_1,106.0983,ARES260327C00106000,2026-03-27,24,106.0,100,True
2026-03-03:ARES:LONG,2026-03-03,ARES,LONG,call,107.17,21,ITM_2,105.0266,ARES260327C00105000,2026-03-27,24,105.0,100,True
2026-03-03:ARES:LONG,2026-03-03,ARES,LONG,call,107.17,21,OTM_1,108.24170000000001,ARES260327C00108000,2026-03-27,24,108.0,100,True
2026-03-03:ARES:LONG,2026-03-03,ARES,LONG,call,107.17,21,OTM_2,109.3134,ARES260327C00109000,2026-03-27,24,109.0,100,True
2026-03-03:ARES:LONG,2026-03-03,ARES,LONG,call,107.17,30,ATM,107.17,ARES260402C00107000,2026-04-02,30,107.0,100,True
2026-03-03:ARES:LONG,2026-03-03,ARES,LONG,call,107.17,30,ITM_1,106.0983,ARES260402C00106000,2026-04-02,30,106.0,100,True
2026-03-03:ARES:LONG,2026-03-03,ARES,LONG,call,107.17,30,ITM_2,105.0266,ARES260402C00105000,2026-04-02,30,105.0,100,True
2026-03-03:ARES:LONG,2026-03-03,ARES,LONG,call,107.17,30,OTM_1,108.24170000000001,ARES260402C00108000,2026-04-02,30,108.0,100,True
2026-03-03:ARES:LONG,2026-03-03,ARES,LONG,call,107.17,30,OTM_2,109.3134,ARES260402C00109000,2026-04-02,30,109.0,100,True
2026-03-03:AXON:LONG,2026-03-03,AXON,LONG,call,566.14,7,ATM,566.14,,,,,,False
2026-03-03:AXON:LONG,2026-03-03,AXON,LONG,call,566.14,7,ITM_1,560.4786,,,,,,False
2026-03-03:AXON:LONG,2026-03-03,AXON,LONG,call,566.14,7,ITM_2,554.8172,,,,,,False
2026-03-03:AXON:LONG,2026-03-03,AXON,LONG,call,566.14,7,OTM_1,571.8014,,,,,,False
2026-03-03:AXON:LONG,2026-03-03,AXON,LONG,call,566.14,7,OTM_2,577.4628,,,,,,False
