threshold,trades,long_trades,short_trades,win_rate,avg_trade_return,median_trade_return,profit_factor,portfolio_return,max_drawdown
0.005,45,27,18,0.6666666666666666,0.00577890151173838,0.007077140835102469,2.443912227470857,0.02441194972403027,-0.00019041375329498234
0.0075,33,21,12,0.696969696969697,0.004963585256815714,0.007012228451843683,2.1665025817995147,0.018777481010153307,0.0
0.01,27,17,10,0.6666666666666666,0.004813237006529224,0.007012228451843683,1.9871354191060686,0.01887186388884432,-0.0010263115387827426
0.0125,15,8,7,0.4666666666666667,0.0005084086012374408,-0.0024630541871921707,1.0906194139229428,-0.0020103628882551794,-0.01113317505643463
0.015,10,6,4,0.5,0.002730218799821719,0.002307043323955149,1.4686515701433767,0.004634352922076035,-0.007757989728998771
