trading_date,trades,wins,daily_return,win_rate
2026-03-03,15,8,0.11403923783214073,0.5333333333333333
2026-03-04,29,11,-0.047337754589959195,0.3793103448275862
2026-03-05,20,10,0.10636563632927987,0.5
2026-03-06,49,27,0.09507427679435888,0.5510204081632653
