scenario,same_day_weight,next_open_weight,trades,overnight_used_trades,win_rate,avg_return,median_return,profit_factor,portfolio_return,max_drawdown,avg_pnl_per_contract,positive_days,trading_days,rank_score
0_SAME_100_NEXT,0.0,1.0,113,8,0.504424778761062,0.08880433020707476,0.005062126092959,1.940100602236076,0.45791109303379773,-0.028687216157597062,76.19623893805311,3,4,0.12316930855532766
25_SAME_75_NEXT,0.25,0.75,113,8,0.504424778761062,0.08236876425293561,0.005062126092959,1.8719723993082618,0.4150162326625748,-0.034198402970421427,69.45320796460179,3,4,0.10641821327682618
50_SAME_50_NEXT,0.5,0.5,113,8,0.504424778761062,0.07593319829879648,0.005062126092959,1.8038441963804475,0.3729186442595871,-0.03970958978324601,62.71017699115046,3,4,0.09123466493833943
75_SAME_25_NEXT,0.75,0.25,113,8,0.49557522123893805,0.06949763234465732,-0.0005853658536584,1.735054046721483,0.3316093905623825,-0.04522077659607027,55.967146017699136,3,4,0.07613097916633624
100_SAME_0_NEXT,1.0,0.0,113,0,0.49557522123893805,0.06306206639051817,-0.0005853658536584,1.6638580341610767,0.29107958080061813,-0.05073196340889485,49.22411504424781,3,4,0.06389327034394826
