target_dte,moneyness_mode,slippage_per_side,executed_trades,coverage,win_rate,avg_option_return,median_option_return,profit_factor,portfolio_return,max_drawdown,avg_entry_premium,avg_contract_cost,positive_days,trading_days,rank_score
14,ATM,0.0,170,0.6827309236947792,0.5764705882352941,0.0843705268046473,0.055945609669392216,2.814581726027159,0.44313207391241094,0.0,9.35164705882353,935.1647058823529,4,4,1.218584960192249
14,OTM_1,0.0,175,0.7028112449799196,0.5657142857142857,0.07590748567630627,0.050000000000000044,2.306117839126044,0.40687586904066575,0.0,7.983942857142858,798.3942857142857,4,4,0.9207060002437347
7,ITM_1,0.0,100,0.40160642570281124,0.62,0.11647574915926985,0.052460512060215625,3.031207500139323,0.5842403220858992,0.0,9.104100000000003,910.41,4,4,0.8791106102420627
7,OTM_1,0.0,113,0.4538152610441767,0.584070796460177,0.117556974115993,0.04629629629629628,2.544586924939607,0.5705750577288506,0.0,6.6128318584070795,661.2831858407079,4,4,0.8428484653463892
7,ATM,0.0,108,0.43373493975903615,0.6388888888888888,0.11177238565558946,0.08012820512820518,2.6532031442573176,0.5729994122345954,-0.021876478179739922,6.757777777777778,675.7777777777778,3,4,0.8357343306727805
14,ITM_1,0.0,148,0.5943775100401606,0.5608108108108109,0.07770959759312424,0.0343857832988268,2.6461602158450153,0.39901596307609366,-0.0033710596377608537,10.719797297297298,1071.9797297297298,3,4,0.8310723400057571
14,OTM_2,0.0,181,0.7269076305220884,0.5580110497237569,0.06877395619711048,0.028000000000000025,2.119100731575166,0.3199776931220417,0.0,7.0207182320441985,702.0718232044198,4,4,0.7953108790998578
7,OTM_2,0.0,108,0.43373493975903615,0.6018518518518519,0.11430875680388068,0.0656972875650711,2.52080584519547,0.5622068787006804,0.0,6.306388888888889,630.6388888888889,4,4,0.7817084129621211
14,ITM_2,0.0,120,0.4819277108433735,0.5583333333333333,0.08596804368944702,0.05290497882202505,2.983789419035959,0.40331793997396237,0.0,9.558916666666667,955.8916666666667,4,4,0.7560861663459064
14,ATM,0.01,170,0.6827309236947792,0.5588235294117647,0.06289784310554535,0.035035795616532917,2.1612558121550434,0.33217525473814713,0.0,9.445163529411765,944.5163529411766,4,4,0.6762241021745923
